Date,Open,High,Low,Close,Volume
2024-08-09,17635,17755,17505,17590,632792
2024-08-12,17635,17885,17380,17885,1121272
2024-08-13,17945,18570,17880,18130,1053594
2024-08-14,18295,18460,18070,18455,1516121
2024-08-16,18555,18565,18395,18445,710883
2024-08-19,18440,18650,18155,18205,498251
2024-08-20,18235,18235,17750,18070,1343324
2024-08-21,17980,18095,17705,18050,451190
2024-08-22,18135,18190,17550,17690,402180
2024-08-23,17515,17875,17515,17830,397983
2024-08-26,17950,17995,17665,17870,542564
2024-08-27,17785,18050,17645,18050,298734
2024-08-28,18150,18415,17860,17975,491588
2024-08-29,17870,17985,17765,17900,262707
2024-08-30,18010,18185,18010,18150,522397
2024-09-02,18280,18280,17910,18025,194541
2024-09-03,18055,18350,18045,18135,515168
2024-09-04,17690,17900,17650,17760,395076
2024-09-05,17880,18000,17340,17475,391166
2024-09-06,17430,17475,17020,17065,484945
2024-09-09,16845,17035,16690,16985,275523
2024-09-10,16990,17225,16900,17110,192410
2024-09-11,17180,17320,16920,16970,187291
2024-09-12,17165,17395,17060,17395,213085
2024-09-13,17465,17725,17465,17685,188016
2024-09-19,17850,17910,17660,17885,274021
2024-09-20,18050,18280,17960,18150,405454
2024-09-23,18280,18280,18050,18170,267246
2024-09-24,18180,18250,18035,18250,268456
2024-09-25,18345,18480,18260,18285,461504
2024-09-26,18300,18300,17980,18170,519488
2024-09-27,18550,18720,18050,18260,1109333
2024-09-30,18355,18360,17975,17985,200250
2024-10-02,18200,18290,17870,18180,360586
2024-10-04,18300,18945,18265,18835,798685
2024-10-07,18965,19630,18835,19550,1637365
2024-10-08,19490,19730,19410,19630,567129
2024-10-10,19790,19805,19250,19450,489418
2024-10-11,19545,19825,19420,19495,497655
2024-10-14,19610,19780,19250,19485,428580
2024-10-15,19555,19855,19365,19840,439508
2024-10-16,19835,20225,19600,19980,1692241
2024-10-17,20120,20540,19975,20495,805566
2024-10-18,20450,20520,20135,20250,513015
2024-10-21,20395,20775,20025,20425,709749
2024-10-22,20485,20730,20195,20700,593040
2024-10-23,20690,20695,20060,20215,1111602
2024-10-24,20085,20360,20055,20205,559546
2024-10-25,20160,20495,19880,20205,1599814
2024-10-28,20260,20260,19945,20005,525592
2024-10-29,20035,20595,20025,20125,690417
2024-10-30,20250,20355,19930,20090,479151
2024-10-31,20010,20170,19460,19660,735552
2024-11-01,19575,19985,19100,19585,1300009
2024-11-04,19600,19680,19155,19440,650034
2024-11-05,19360,19590,19150,19470,792558
2024-11-06,19560,20400,19430,20240,963950
2024-11-07,20625,21180,20435,21155,1563128
2024-11-08,21295,21645,21055,21485,1276307
2024-11-11,21625,22305,21625,22300,1225796
2024-11-12,22370,22650,21900,22060,1061484
2024-11-13,22100,22195,21265,21390,870492
2024-11-14,21465,22405,21465,22340,813335
2024-11-15,22225,22455,21715,22030,606159
2024-11-18,21750,22050,21510,21630,502865
2024-11-19,21735,21845,21235,21515,622505
2024-11-20,21510,21860,21235,21640,744056
2024-11-21,21450,21605,20255,20460,1405305
2024-11-22,20625,21200,20590,21190,862364
2024-11-25,21220,21350,20130,20560,1188836
2024-11-26,20225,20225,18800,18830,2012570
2024-11-27,18705,19120,18700,18830,792456
2024-11-28,18755,19255,18635,19050,477388
2024-11-29,18930,19225,18460,18500,564473
2024-12-02,18550,18790,18340,18475,1013094
2024-12-03,18665,19250,18665,19200,610449
2024-12-04,18710,19200,18660,18800,808409
2024-12-05,18825,18850,17700,17785,896560
2024-12-06,17790,17885,16890,17340,1361579
2024-12-09,16700,16900,16195,16210,1415693
2024-12-10,16365,16940,16120,16940,910664
2024-12-11,17015,17580,16770,17510,670877
2024-12-12,17695,18095,17555,18060,607899
2024-12-13,18260,18260,17780,18215,295914
2024-12-16,18470,18470,17860,17985,402575
2024-12-17,17985,18050,17515,17645,448498
2024-12-18,17530,17930,17485,17620,291829
2024-12-19,17100,17880,17065,17710,242008
2024-12-20,17725,17975,17490,17610,216142
2024-12-23,17895,18650,17895,18610,408205
2024-12-24,18800,18845,18385,18510,236606
2024-12-26,18565,18820,18400,18660,457133
2024-12-27,18640,18895,18225,18385,288943
2024-12-30,18325,18835,18320,18810,321058
2025-01-02,18820,19875,18820,19860,873844
2025-01-03,19845,20000,19655,19930,491149
2025-01-06,19940,20110,19760,19875,352674
2025-01-07,20145,20865,20095,20750,796601
2025-01-08,20710,20710,20305,20645,444098
2025-01-09,20485,20740,19840,20740,567723
2025-01-10,20615,20705,20220,20380,300317
2025-01-13,20395,20650,20310,20565,313672
2025-01-14,20620,21295,20620,21135,614957
2025-01-15,21230,21490,21085,21350,634343
2025-01-16,21485,21505,21045,21340,415314
2025-01-17,21205,21380,20965,21215,357866
2025-01-20,21300,21300,20880,21090,328464
2025-01-21,21200,21755,21200,21755,642778
2025-01-22,21915,22045,21560,21655,562867
2025-01-23,21715,21925,21165,21225,317886
2025-01-24,21315,22425,21315,22415,1020454
2025-01-31,22500,22670,22080,22215,585340
